Parent	Latitude	Longitude
1	50.617	-127.29
2	48.47696	-123.928981
5	50.4	-127.78333
10	50.317	-127.39
15	50.4	-127.78333
19	50.4	-127.26
20	50.25	-127.33
40	50.633	-127.23
44	50.55	-127.18
47	50.583	-127.21
49	50.633	-127.28333
58	50.617	-128.09
85	50.233	-124.22
87	52.92	-131.85
88	52.95	-131.57
94	52.82953	-131.7523
95	52.817	-132.04
97	52.817	-132.04
113	52.66038	-131.42059
116	52.60349	-131.55828
120	52.73693	-131.74706
121	52.764759	-131.637242
126	52.563937	-131.379182
128	52.432112	-131.26762
133	52.267	-131.17
137	52.791505	-131.705408
138	52.82953	-131.6923
144	50.617	-127.29
148	49.867	-123.44
149	49.867	-123.44
150	49.867	-123.73333
156	49.95	-126.08
158	49.717	-126.25
164	50.3	-124.37
165	49.817	-124.19
171	49.933	-124.22
173	49.133	-124.27
175	48.933	-124.42
176	48.95	-124.59
181	49.32	-124.48
191	50.117	-123.78333
202	49.767	-123.24
203	49.584	-123.82268
204	49.8	-123.32
214	49.317	-122.48
220	50.517	-127
221	50.477	-126.59
230	51.3	-127.02
231	51.233	-127.14
232	51.3	-127.2
235	51.717	-127.02
241	51.6	-127.58
243	51.717	-127.38
253	52.033	-127.25
261	52.433	-127.42
263	49.74166	-123.73985
264	49.74166	-123.71985
266	52.87	-132.08
281	52.45	-131.45
285	50.615852	-127.240114
301	50.6	-127.23
306	50.55	-128
322	50.55	-127.5
325	50.55	-127.51
329	50.43	-127.4
331	50.317	-127.22
334	50.25	-127.2
336	50.35	-127.22
340	50.3	-127.26
343	50.05	-127.41667
344	50.05	-127.41667
347	50.283	-127.25
351	49.1	-124.13
366	49.1	-125.02
367	49.1	-125.01667
368	49.1	-125.03
378	49.2	-125.4
381	49.483	-126.38333
386	49.367	-125.86667
392	49.75	-124.18
394	49.8	-124.17
402	50.15	-127.13
404	50.08	-127.35
411	49.483	-122.36
415	50.7	-126.02
421	50.317	-125.2
426	48.52	-124.17
430	49.26942	-124.384853
435	48.933	-123.75
438	48.617	-123.33
444	50.3	-126.55
446	50.35	-126.54
454	49.85	-126.51
461	50.133	-127.08333
465	50.029494	-127.276943
466	50.047923	-127.206587
490	49.5	-125.58
493	49.183	-125.44
497	48.8	-124.36
501	49.033	-125.01
503	49.183	-125.05
505	50.267	-125.43
508	50.4	-125.59
527	51.75	-119.09
528	51.083	-119.09
531	50.85	-119.44
566	40.071301	-124.035938
648	45.783	-123.4
662	45.367	-123.45
779	49.733	-125.14
784	49.7	-125.05
1081	44.45	-123.59
