,26_1-F,2612-S1,2612-1-S2,2612-12-S3,2612-121-S4
10037734_70,0,0,0,0,0
10037734_187,0,0,0,0,0
10037734_193,0,0,0,0,0
10744769_347,0,0,0,0,0
10744769_415,0,0,0,0,0
10744769_420,0,0,0,0,0
11940064_213,0,0,0,0,0
1203429_535,0,0,0,0,0
12092238_417,0,0,0,0,0
12092238_439,0,0,0,0,0
1238669_2457,0,0,0,0,0
1238669_2540,0,0,0,0,0
1238669_2557,0,0,0,0,0
1238669_2591,0,0,0,0,0
12697123_387,0,0,0,0,0
12955242_339,0,0,0,0,0
12955242_389,0,0,0,0,0
12955242_405,0,0,0,0,0
1297298_3008,0,0,0,0,0
1297298_3066,0,0,0,0,0
13088301_316,0,0,0,0,0
13200464_367,0,0,0,0,0
13200464_401,0,0,0,0,0
13200464_448,0,0,0,0,0
13200464_466,0,0,0,0,0
13425917_78,0,0,0,0,0
137057_5404,0,0,0,0,0
137057_5431,0,0,0,0,0
137057_5440,0,0,0,0,0
137057_5450,0,0,0,0,0
137057_5452,0,0,0,0,0
137057_5458,0,0,0,0,0
13777658_143,0,0,0,0,0
13777658_174,0,0,0,0,0
13777658_177,0,0,0,0,0
13777658_185,0,0,0,0,0
13777658_434,0,0,0,0,0
13923025_139,0,0,0,0,0
13923025_165,0,0,0,0,0
13923025_169,0,0,0,0,0
13923025_186,0,0,0,0,0
13923025_193,0,0,0,0,0
13923025_195,0,0,0,0,0
13923025_258,0,0,0,0,0
13923025_282,0,0,0,0,0
1441214_2511,0,0,0,0,0
1441214_2530,0,0,0,0,0
1441214_2562,0,0,0,0,0
1441214_2619,0,0,0,0,0
1441214_2634,0,0,0,0,0
14485987_171,0,0,0,0,0
14485987_172,0,0,0,0,0
14485987_175,0,0,0,0,0
14485987_182,0,0,0,0,0
14485987_188,0,0,0,0,0
14485987_200,0,0,0,0,0
14485987_203,0,0,0,0,0
14485987_221,0,0,0,0,0
14808049_151,0,0,0,0,0
14808049_154,0,0,0,0,0
14808049_164,0,0,0,0,0
14808049_228,0,0,0,0,0
14808049_229,0,0,0,0,0
14808049_262,0,0,0,0,0
14808049_273,0,0,0,0,0
14808049_274,0,0,0,0,0
15090513_298,0,0,0,0,0
15090513_347,0,0,0,0,0
15240933_316,0,0,0,0,0
15240937_177,0,0,0,0,0
15389861_126,0,0,0,0,0
15389861_131,0,0,0,0,0
15389861_176,0,0,0,0,0
15389861_201,0,0,0,0,0
15389861_204,0,0,0,0,0
15901180_338,0,0,0,0,0
1615033_758,0,0,0,0,0
1615033_791,0,0,0,0,0
1615033_792,0,0,0,0,0
16168833_95,0,0,0,0,0
16323825_96,0,0,0,0,0
16323825_112,0,0,0,0,0
16323825_114,0,0,0,0,0
16323825_118,0,0,0,0,0
16323825_126,0,0,0,0,0
16323825_139,0,0,0,0,0
16323825_147,0,0,0,0,0
16323825_291,0,0,0,0,0
16323825_298,0,0,0,0,0
16323825_312,0,0,0,0,0
16323825_319,0,0,0,0,0
16323825_322,0,0,0,0,0
16323825_323,0,0,0,0,0
16323825_341,0,0,0,0,0
16323825_343,0,0,0,0,0
16323825_349,0,0,0,0,0
16323825_363,0,0,0,0,0
16323825_367,0,0,0,0,0
16323825_372,0,0,0,0,0
16323825_379,0,0,0,0,0
16323825_380,0,0,0,0,0
16323825_387,0,0,0,0,0
16323825_393,0,0,0,0,0
16323825_395,0,0,0,0,0
16323825_402,0,0,0,0,0
16323825_420,0,0,0,0,0
16323825_421,0,0,0,0,0
16323825_429,0,0,0,0,0
16323825_433,0,0,0,0,0
16323825_445,0,0,0,0,0
16323825_447,0,0,0,0,0
16323825_454,0,0,0,0,0
16323825_461,0,0,0,0,0
16323825_472,0,0,0,0,0
16553979_151,0,0,0,0,0
16553979_165,0,0,0,0,0
16553979_204,0,0,0,0,0
170704_219,0,0,0,0,0
17094313_124,0,0,0,0,0
17094313_144,0,0,0,0,0
17094313_152,0,0,0,0,0
17094313_168,0,0,0,0,0
17094313_189,0,0,0,0,0
17094313_194,0,0,0,0,0
17094313_208,0,0,0,0,0
17094313_217,0,0,0,0,0
17094313_218,0,0,0,0,0
17094313_220,0,0,0,0,0
17094313_236,0,0,0,0,0
17094313_239,0,0,0,0,0
17094313_249,0,0,0,0,0
17094313_252,0,0,0,0,0
17372574_255,0,0,0,0,0
17372574_318,0,0,0,0,0
17372574_356,0,0,0,0,0
17372574_391,0,0,0,0,0
17372574_449,0,0,0,0,0
1769240_255,0,0,0,0,0
1769240_266,0,0,0,0,0
17898864_119,0,0,0,0,0
17898864_120,0,0,0,0,0
17983281_143,0,0,0,0,0
17983281_171,0,0,0,0,0
17983281_233,0,0,0,0,0
17983281_238,0,0,0,0,0
17983281_263,0,0,0,0,0
17983281_267,0,0,0,0,0
17983281_273,0,0,0,0,0
17983281_329,0,0,0,0,0
17983281_374,0,0,0,0,0
17983281_376,0,0,0,0,0
18150287_169,0,0,0,0,0
18491939_68,0,0,0,0,0
18491939_69,0,0,0,0,0
18491939_76,0,0,0,0,0
18491939_78,0,0,0,0,0
18530056_131,0,0,0,0,0
18530056_180,0,0,0,0,0
19196369_361,0,0,0,0,0
19196369_362,0,0,0,0,0
1946607_79,0,0,0,0,0
1946607_92,0,0,0,0,0
1946607_93,0,0,0,0,0
1946607_103,0,0,0,0,0
1946607_114,0,0,0,0,0
1946607_118,0,0,0,0,0
1946607_131,0,0,0,0,0
1946607_139,0,0,0,0,0
1946607_165,0,0,0,0,0
1946607_173,0,0,0,0,0
20066919_116,0,0,0,0,0
21533801_233,0,0,0,0,0
21533801_253,0,0,0,0,0
21533801_279,0,0,0,0,0
21533801_292,0,0,0,0,0
21533801_293,0,0,0,0,0
21533801_295,0,0,0,0,0
21533801_324,0,0,0,0,0
21533801_329,0,0,0,0,0
21533801_343,0,0,0,0,0
21533801_359,0,0,0,0,0
21533801_362,0,0,0,0,0
21533806_257,0,0,0,0,0
21533806_299,0,0,0,0,0
21533806_313,0,0,0,0,0
21533806_355,0,0,0,0,0
21533806_357,0,0,0,0,0
21533806_359,0,0,0,0,0
21533806_393,0,0,0,0,0
21533806_415,0,0,0,0,0
21533806_425,0,0,0,0,0
2231860_364,0,0,0,0,0
2310012_415,0,0,0,0,0
2310012_431,0,0,0,0,0
2310012_446,0,0,0,0,0
2310012_447,0,0,0,0,0
