,7_2-F,721-S1,721-2-S2,721-21-S3,721-211-S4
10037734_187,1,1,1,1,1
10037734_193,1,1,1,1,1
10744769_347,0,0,0,0,0
12006811_276,0,0,0,0,0
12092238_439,0,0,0,0,0
1238669_2457,0,0,0,0,0
1238669_2557,0,0,0,0,0
1238669_2591,0,0,0,0,0
12955242_405,0,0,0,0,0
1297298_3008,0,0,0,0,0
1297298_3066,0,0,0,0,0
13088301_250,1,1,1,1,1
13088301_259,1,1,1,1,1
13088301_261,1,0,0,0,0
13088301_290,1,1,1,1,1
13088301_316,0,0,0,0,0
13200464_367,1,1,NA,NA,2
13200464_401,0,0,0,0,0
13200464_448,0,0,0,0,0
13200464_466,0,0,0,0,0
137057_5371,1,1,1,1,1
137057_5384,1,1,1,1,1
137057_5386,1,1,1,1,1
137057_5393,1,1,1,NA,0
137057_5404,0,0,0,0,0
137057_5431,0,0,0,0,0
137057_5458,0,0,0,0,0
13777658_267,1,1,1,NA,2
13777658_286,0,0,0,0,0
13777658_287,0,0,0,0,0
13777658_292,0,0,0,0,0
13777658_434,0,0,0,0,0
14099780_128,0,0,0,0,0
14099780_220,0,0,0,0,0
14099780_228,0,0,0,0,0
1441214_2530,0,0,0,0,0
1441214_2562,1,2,2,2,2
1441214_2619,0,0,0,0,0
1441214_2634,0,0,0,0,0
14485987_171,0,0,0,0,0
14485987_172,0,0,0,0,0
14485987_175,0,0,0,0,0
14485987_182,0,0,0,0,0
14485987_188,0,0,0,0,0
14485987_200,0,0,0,0,0
14485987_203,0,0,0,0,0
14485987_221,0,0,0,0,0
14808049_229,1,1,1,1,1
14808049_262,1,1,1,1,1
14808049_273,1,1,1,1,1
14808049_274,1,1,1,1,1
15090513_298,1,0,0,0,0
15090513_318,1,1,0,0,0
15090513_347,1,0,0,0,0
15240933_286,1,1,1,1,1
15240933_294,1,1,1,NA,0
15240933_298,1,1,1,NA,0
15240933_304,1,1,1,NA,0
15240937_111,1,1,0,0,0
15240937_177,0,0,0,0,0
15419711_499,2,2,2,2,2
15419711_596,1,1,1,1,1
15462443_611,0,0,0,0,0
15462443_671,0,0,0,0,0
1558924_1376,2,2,2,2,2
15901180_338,0,0,0,0,0
16168833_95,2,2,2,2,2
16553979_151,0,0,0,0,0
16553979_165,0,0,0,0,0
16553979_204,0,0,0,0,0
16553979_206,0,0,0,0,0
17094313_144,0,0,0,0,0
17094313_236,0,0,0,0,0
17372574_318,0,0,0,0,0
17372574_356,0,0,0,0,0
17372574_391,0,0,0,0,0
17372574_449,0,0,0,0,0
1769240_184,0,0,0,0,0
1769240_266,0,0,0,0,0
1776611_334,1,0,0,0,0
1776611_369,0,0,0,0,0
1776611_377,0,0,0,0,0
17898864_119,0,0,0,0,0
17898864_120,0,0,0,0,0
17983281_143,1,1,0,0,0
17983281_171,0,0,0,0,0
17983281_233,0,0,0,0,0
17983281_238,0,0,0,0,0
17983281_267,1,1,1,NA,0
17983281_273,1,1,1,NA,0
17983281_374,0,0,0,0,0
17983281_376,1,1,1,NA,0
18150287_169,1,1,1,NA,2
19196369_362,0,0,0,0,0
20066919_116,0,0,0,0,0
20066919_81,0,0,0,0,0
21533801_362,0,0,0,0,0
2231860_287,0,0,0,0,0
2231860_364,0,0,0,0,0
2310012_425,2,2,2,2,2
2310012_448,2,2,2,2,2
2310012_450,2,2,2,2,2
2425235_128,1,1,1,1,1
2425235_135,1,1,1,1,1
2425235_197,2,2,2,2,2
2463178_3049,1,1,NA,NA,NA
2463178_3051,1,1,NA,NA,NA
2463178_3101,0,0,0,0,0
2463178_3238,0,0,0,0,0
2709928_3848,0,0,0,0,0
2709928_3910,0,0,0,0,0
2709928_3928,0,0,0,0,0
28134598_200,0,0,0,0,0
28135302_652,0,0,0,0,0
28137071_1470,0,0,0,0,0
28137572_3637,0,0,0,0,0
28137572_3722,0,0,0,0,0
28137572_3742,0,0,0,0,0
28137572_3768,0,0,0,0,0
28137572_3772,0,0,0,0,0
28137572_3774,0,0,0,0,0
28137572_3783,0,0,0,0,0
28138317_246,0,0,0,0,0
28138317_272,0,0,0,0,0
28138351_5375,0,0,0,0,0
28138351_5415,0,0,0,0,0
28139210_128,0,0,0,0,0
28139210_199,2,2,2,2,2
28139210_333,0,0,0,0,0
28139328_1127,0,0,0,0,0
28140702_491,0,0,0,0,0
28140702_532,0,0,0,0,0
2814320_533,0,0,0,0,0
28143895_1004,0,0,0,0,0
28143895_956,0,0,0,0,0
28144677_2696,0,0,0,0,0
28145705_5676,0,0,0,0,0
28152325_475,1,1,2,2,2
28152975_2759,1,0,0,0,0
28152975_2803,1,1,1,1,1
28152975_2851,1,1,1,1,1
28152975_2854,1,1,1,1,1
28152975_2860,0,0,0,0,0
28152975_2861,0,0,0,0,0
28152975_2880,1,1,1,NA,0
28152975_2891,0,0,0,0,0
28152975_2908,2,2,2,2,2
28152975_2924,0,0,0,0,0
28152975_2928,0,0,0,0,0
28153607_207,0,0,0,0,0
28154626_133,0,0,0,0,0
28154626_326,0,0,0,0,0
28154626_3513,0,0,0,0,0
28154626_3598,0,0,0,0,0
28154976_181,0,0,0,0,0
28155185_4601,1,1,1,1,1
28155185_4662,1,1,1,1,1
28155185_4677,0,0,0,0,0
28155185_4708,0,0,0,0,0
28155190_441,0,0,0,0,0
28155190_443,0,0,0,0,0
28155190_447,0,0,0,0,0
28155190_461,0,0,0,0,0
28155190_462,0,0,0,0,0
28155190_480,0,0,0,0,0
28155190_532,0,0,0,0,0
28155190_552,0,0,0,0,0
28155190_555,0,0,0,0,0
28155190_564,0,0,0,0,0
28155190_679,0,0,0,0,0
28155190_683,0,0,0,0,0
28155190_698,0,0,0,0,0
28155318_331,0,0,0,0,0
28155318_391,0,0,0,0,0
28155318_425,0,0,0,0,0
28155318_426,0,0,0,0,0
28155318_503,0,0,0,0,0
28155370_398,1,1,1,1,1
28155370_412,0,0,0,0,0
28155711_1017,1,1,1,1,1
28156791_792,0,0,0,0,0
28158048_447,2,2,2,2,2
28158048_449,1,1,0,0,0
28158048_450,1,1,0,0,0
28158048_503,1,1,2,2,2
28159089_398,2,2,2,2,2
28159089_399,0,0,0,0,0
28162055_1053,1,1,1,1,1
28164259_2619,0,0,0,0,0
28165285_553,1,1,1,1,1
28165285_576,0,0,0,0,0
28165823_1377,0,0,0,0,0
28165862_339,0,0,0,0,0
28165862_409,1,1,1,1,1
28166317_1056,0,0,0,0,0
28172411_2045,0,0,0,0,0
28172901_199,0,0,0,0,0
28173112_1790,0,0,0,0,0
28175193_2680,0,0,0,0,0
28175193_2710,0,0,0,0,0
28175193_2723,1,1,1,1,1
28176026_544,0,0,0,0,0
28176026_564,1,1,1,1,1
28176026_627,0,0,0,0,0
28176831_494,0,0,0,0,0
28176831_552,0,0,0,0,0
28176831_556,0,0,0,0,0
28176831_563,0,0,0,0,0
