"SNP","not_fixed","ref_fixed","alt_fixed","total","not_fixed_prop","ref_fixed_prop","alt_fixed_prop","not_fixed_exp","ref_fixed_exp","alt_fixed_exp","chi_sq","p.value","p.adj.BH","p.adj.bonf","p.adj.holm"
"1238669_2457",1,2,1,4,0.25,0.5,0.25,0.25,1.875,1.875,2.66666666666667,0.263597138115727,0.873077093983454,1,1
"1297298_3008",2,2,2,6,0.333333333333333,0.333333333333333,0.333333333333333,0.375,2.8125,2.8125,7.51111111111111,0.0233874539693846,0.873077093983454,1,1
"1297298_3066",2,2,2,6,0.333333333333333,0.333333333333333,0.333333333333333,0.375,2.8125,2.8125,7.51111111111111,0.0233874539693846,0.873077093983454,1,1
"137057_5458",1,2,0,3,0.333333333333333,0.666666666666667,0,0.1875,1.40625,1.40625,5.17777777777778,0.0751034420112446,0.873077093983454,1,1
"1558924_1376",2,5,3,10,0.2,0.5,0.3,0.625,4.6875,4.6875,3.65333333333333,0.160949171845277,0.873077093983454,1,1
"2463178_3209",1,4,2,7,0.142857142857143,0.571428571428571,0.285714285714286,0.4375,3.28125,3.28125,1.38095238095238,0.501337280177891,0.873077093983454,1,1
"2483091_2120",1,8,6,15,0.0666666666666667,0.533333333333333,0.4,0.9375,7.03125,7.03125,0.288888888888889,0.865502994567177,0.928276269399873,1,1
"2709928_3893",1,2,0,3,0.333333333333333,0.666666666666667,0,0.1875,1.40625,1.40625,5.17777777777778,0.0751034420112446,0.873077093983454,1,1
"28134526_2510",1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666666666667,0.840857282364351,0.914722116996534,1,1
"28144677_2692",1,1,3,5,0.2,0.2,0.6,0.3125,2.34375,2.34375,2.46666666666667,0.291319891133471,0.873077093983454,1,1
"28144677_2717",1,1,4,6,0.166666666666667,0.166666666666667,0.666666666666667,0.375,2.8125,2.8125,2.71111111111111,0.257804030198663,0.873077093983454,1,1
"28145705_5676",1,6,1,8,0.125,0.75,0.125,0.5,3.75,3.75,3.86666666666667,0.144665176638995,0.873077093983454,1,1
