SNP,not_fixed,ref_fixed,alt_fixed,total,not_fixed_exp,ref_fixed_exp,alt_fixed_exp,chi_sq,p.value,p.adj.BH,p.adj.bonf,p.adj.holm
10037734_70,7,3,0,10,0.625,4.6875,4.6875,70.32,5.37E-16,1.11E-14,1.94E-11,1.85E-11
1558924_1376,2,5,3,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
21533801_295,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
2709928_3910,2,8,0,10,0.625,4.6875,4.6875,10.05333333,0.006560643,0.053347804,1,1
28134526_2510,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
28152975_2794,1,7,2,10,0.625,4.6875,4.6875,2.906666667,0.233789689,0.77509252,1,1
28152975_2851,2,5,3,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
28152975_2854,2,5,3,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
28153863_4300,5,5,0,10,0.625,4.6875,4.6875,35.33333333,2.13E-08,2.82E-07,0.000768948,0.00071175
28155318_426,6,4,0,10,0.625,4.6875,4.6875,51.01333333,8.37E-12,1.37E-10,3.03E-07,2.84E-07
28155318_503,6,4,0,10,0.625,4.6875,4.6875,51.01333333,8.37E-12,1.37E-10,3.03E-07,2.84E-07
28158048_447,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
28165285_576,5,5,0,10,0.625,4.6875,4.6875,35.33333333,2.13E-08,2.82E-07,0.000768948,0.00071175
28191386_6048,6,0,4,10,0.625,4.6875,4.6875,51.01333333,8.37E-12,1.37E-10,3.03E-07,2.84E-07
28221113_4389,3,7,0,10,0.625,4.6875,4.6875,14.85333333,0.000595168,0.005441344,1,1
28222015_413,6,4,0,10,0.625,4.6875,4.6875,51.01333333,8.37E-12,1.37E-10,3.03E-07,2.84E-07
28365538_6235,3,4,3,10,0.625,4.6875,4.6875,9.733333333,0.007698986,0.060985973,1,1
28365538_6254,3,6,1,10,0.625,4.6875,4.6875,12.29333333,0.002140605,0.018451436,1,1
28446824_1212,3,6,1,10,0.625,4.6875,4.6875,12.29333333,0.002140605,0.018451436,1,1
28453941_1495,5,5,0,10,0.625,4.6875,4.6875,35.33333333,2.13E-08,2.82E-07,0.000768948,0.00071175
28453941_1512,5,5,0,10,0.625,4.6875,4.6875,35.33333333,2.13E-08,2.82E-07,0.000768948,0.00071175
28453941_1560,5,5,0,10,0.625,4.6875,4.6875,35.33333333,2.13E-08,2.82E-07,0.000768948,0.00071175
28458922_2613,1,1,8,10,0.625,4.6875,4.6875,5.466666667,0.065002254,0.372145362,1,1
28483315_5482,4,6,0,10,0.625,4.6875,4.6875,23.28,8.81E-06,9.57E-05,0.318599273,0.289519615
28486405_706,1,1,8,10,0.625,4.6875,4.6875,5.466666667,0.065002254,0.372145362,1,1
28553960_250,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
28628206_4210,1,9,0,10,0.625,4.6875,4.6875,8.88,0.011795939,0.091086802,1,1
28662839_1971,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
28662839_1973,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
28662839_1977,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
28662839_1995,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
28662839_2128,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
28662839_2147,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
28695874_5272,2,2,6,10,0.625,4.6875,4.6875,4.933333333,0.084867279,0.438418328,1,1
28720981_4128,3,7,0,10,0.625,4.6875,4.6875,14.85333333,0.000595168,0.005441344,1,1
28819086_14252,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
28920448_4660,3,4,3,10,0.625,4.6875,4.6875,9.733333333,0.007698986,0.060985973,1,1
29114849_6803,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29167589_804,1,2,7,10,0.625,4.6875,4.6875,2.906666667,0.233789689,0.77509252,1,1
29167589_816,1,2,7,10,0.625,4.6875,4.6875,2.906666667,0.233789689,0.77509252,1,1
29173818_2709,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29181716_4103,5,5,0,10,0.625,4.6875,4.6875,35.33333333,2.13E-08,2.82E-07,0.000768948,0.00071175
29183901_2111,6,4,0,10,0.625,4.6875,4.6875,51.01333333,8.37E-12,1.37E-10,3.03E-07,2.84E-07
29185024_4020,7,3,0,10,0.625,4.6875,4.6875,70.32,5.37E-16,1.11E-14,1.94E-11,1.85E-11
29185024_4205,3,5,2,10,0.625,4.6875,4.6875,10.58666667,0.005024982,0.041809749,1,1
29185709_835,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29186905_1368,5,5,0,10,0.625,4.6875,4.6875,35.33333333,2.13E-08,2.82E-07,0.000768948,0.00071175
29188197_1252,6,4,0,10,0.625,4.6875,4.6875,51.01333333,8.37E-12,1.37E-10,3.03E-07,2.84E-07
29188197_1337,4,6,0,10,0.625,4.6875,4.6875,23.28,8.81E-06,9.57E-05,0.318599273,0.289519615
29198980_672,3,1,6,10,0.625,4.6875,4.6875,12.29333333,0.002140605,0.018451436,1,1
29198980_705,1,3,6,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29198980_875,1,3,6,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29198980_882,1,3,6,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29198980_906,1,3,6,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29210619_1120,2,6,2,10,0.625,4.6875,4.6875,4.933333333,0.084867279,0.438418328,1,1
29237346_4293,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29334491_10067,2,6,2,10,0.625,4.6875,4.6875,4.933333333,0.084867279,0.438418328,1,1
29334876_363307,4,6,0,10,0.625,4.6875,4.6875,23.28,8.81E-06,9.57E-05,0.318599273,0.289519615
29335585_122850,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29335993_25507,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29335993_25528,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29336428_49297,2,8,0,10,0.625,4.6875,4.6875,10.05333333,0.006560643,0.053347804,1,1
29340792_10287,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29341462_12538,5,4,1,10,0.625,4.6875,4.6875,33.62666667,4.99E-08,6.54E-07,0.001805073,0.001668059
29342442_3383,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29343746_19067,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29343993_17384,6,4,0,10,0.625,4.6875,4.6875,51.01333333,8.37E-12,1.37E-10,3.03E-07,2.84E-07
29344240_4489,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29344736_43265,5,5,0,10,0.625,4.6875,4.6875,35.33333333,2.13E-08,2.82E-07,0.000768948,0.00071175
29344802_53558,5,1,4,10,0.625,4.6875,4.6875,33.62666667,4.99E-08,6.54E-07,0.001805073,0.001668059
29344802_53566,5,5,0,10,0.625,4.6875,4.6875,35.33333333,2.13E-08,2.82E-07,0.000768948,0.00071175
29344833_23992,2,5,3,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29346135_370,5,5,0,10,0.625,4.6875,4.6875,35.33333333,2.13E-08,2.82E-07,0.000768948,0.00071175
29346254_78302,7,3,0,10,0.625,4.6875,4.6875,70.32,5.37E-16,1.11E-14,1.94E-11,1.85E-11
29346481_35121,1,3,6,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29346798_613588,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29347148_1339,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29348109_70793,2,6,2,10,0.625,4.6875,4.6875,4.933333333,0.084867279,0.438418328,1,1
29350508_341287,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29353611_135715,5,5,0,10,0.625,4.6875,4.6875,35.33333333,2.13E-08,2.82E-07,0.000768948,0.00071175
29354740_220565,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29355061_50675,5,4,1,10,0.625,4.6875,4.6875,33.62666667,4.99E-08,6.54E-07,0.001805073,0.001668059
29355715_31907,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29356979_103856,1,3,6,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29360225_75525,7,1,2,10,0.625,4.6875,4.6875,69.46666667,8.23E-16,1.67E-14,2.98E-11,2.83E-11
29363748_595595,6,3,1,10,0.625,4.6875,4.6875,49.73333333,1.59E-11,2.57E-10,5.74E-07,5.39E-07
29366289_131617,5,5,0,10,0.625,4.6875,4.6875,35.33333333,2.13E-08,2.82E-07,0.000768948,0.00071175
29366518_51161,2,6,2,10,0.625,4.6875,4.6875,4.933333333,0.084867279,0.438418328,1,1
29366658_280745,2,5,3,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29366658_280876,3,4,3,10,0.625,4.6875,4.6875,9.733333333,0.007698986,0.060985973,1,1
29366658_565907,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29367028_22132,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29367903_275693,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29367903_275753,1,3,6,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29371780_42960,2,4,4,10,0.625,4.6875,4.6875,3.226666667,0.199222431,0.702620531,1,1
29375018_211056,6,4,0,10,0.625,4.6875,4.6875,51.01333333,8.37E-12,1.37E-10,3.03E-07,2.84E-07
29375018_255042,5,5,0,10,0.625,4.6875,4.6875,35.33333333,2.13E-08,2.82E-07,0.000768948,0.00071175
29375424_21638,7,3,0,10,0.625,4.6875,4.6875,70.32,5.37E-16,1.11E-14,1.94E-11,1.85E-11
29375424_21650,8,2,0,10,0.625,4.6875,4.6875,93.25333333,5.63E-21,1.51E-19,2.04E-16,1.96E-16
29376983_11615,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29376992_1350437,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29376992_1754707,2,5,3,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29376992_812249,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377001_5541376,4,5,1,10,0.625,4.6875,4.6875,21.14666667,2.56E-05,0.000269661,0.925746818,0.838282334
29377012_175291,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377021_380474,2,4,4,10,0.625,4.6875,4.6875,3.226666667,0.199222431,0.702620531,1,1
29377042_3984176,4,5,1,10,0.625,4.6875,4.6875,21.14666667,2.56E-05,0.000269661,0.925746818,0.838282334
29377090_96990,7,3,0,10,0.625,4.6875,4.6875,70.32,5.37E-16,1.11E-14,1.94E-11,1.85E-11
29377112_525872,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377112_525897,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377121_812259,2,5,3,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29377127_4677533,2,2,6,10,0.625,4.6875,4.6875,4.933333333,0.084867279,0.438418328,1,1
29377132_5128033,4,5,1,10,0.625,4.6875,4.6875,21.14666667,2.56E-05,0.000269661,0.925746818,0.838282334
29377139_2138951,1,7,2,10,0.625,4.6875,4.6875,2.906666667,0.233789689,0.77509252,1,1
29377152_910208,1,1,8,10,0.625,4.6875,4.6875,5.466666667,0.065002254,0.372145362,1,1
29377152_910282,1,1,8,10,0.625,4.6875,4.6875,5.466666667,0.065002254,0.372145362,1,1
29377168_291247,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377168_318204,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377169_2941532,2,4,4,10,0.625,4.6875,4.6875,3.226666667,0.199222431,0.702620531,1,1
29377170_10736143,2,4,4,10,0.625,4.6875,4.6875,3.226666667,0.199222431,0.702620531,1,1
29377170_11784591,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
