,21_2-F,2121-S1,2121-1-S2,2121-11-S3,2121-111-S4,2121-111-S5
10037734_187,1,1,0,0,0,0
10037734_193,1,1,0,0,0,0
10037734_70,0,0,0,0,0,0
10067478_194,1,2,2,2,2,2
10067478_247,1,2,2,2,2,2
10744769_347,0,0,0,0,0,0
10744769_415,0,0,0,0,0,0
10744769_420,0,0,0,0,0,0
10744769_496,1,0,0,0,0,0
10744769_556,1,1,1,1,1,1
10744769_562,1,1,1,1,1,1
10744769_580,1,1,1,1,1,1
11940064_213,0,0,0,0,0,0
12006811_276,0,0,0,0,0,0
12006811_314,0,0,0,0,0,0
1203429_535,1,1,1,1,0,0
12092238_417,0,0,0,0,0,0
12092238_439,0,0,0,0,0,0
12092238_454,1,1,1,1,0,0
12092238_488,1,1,1,1,0,0
12378141_88,1,2,2,2,2,2
1238669_2457,0,0,0,0,0,0
1238669_2540,0,0,0,0,0,0
1238669_2557,0,0,0,0,0,0
1238669_2591,0,0,0,0,0,0
12697123_387,0,0,0,0,0,0
12697123_404,0,0,0,0,0,0
12697123_485,0,0,0,0,0,0
12955242_339,0,0,0,0,0,0
12955242_389,0,0,0,0,0,0
12955242_405,0,0,0,0,0,0
1297298_3008,2,2,2,2,2,2
1297298_3066,2,2,2,2,2,2
13088301_250,0,0,0,0,0,0
13088301_259,1,1,1,0,0,0
13088301_261,0,0,0,0,0,0
13088301_290,1,1,1,1,1,0
13088301_316,0,0,0,0,0,0
13088301_349,1,1,1,1,1,0
13200464_367,0,0,0,0,0,0
13200464_401,0,0,0,0,0,0
13200464_448,0,0,0,0,0,0
13200464_466,0,0,0,0,0,0
13425917_74,1,1,0,0,0,0
13425917_78,0,0,0,0,0,0
13425917_83,1,1,1,1,1,0
137057_5371,1,0,0,0,0,0
137057_5384,1,0,0,0,0,0
137057_5386,1,0,0,0,0,0
137057_5393,1,0,0,0,0,0
137057_5404,0,0,0,0,0,0
137057_5431,0,0,0,0,0,0
137057_5440,1,1,1,0,0,0
137057_5450,1,1,1,0,0,0
137057_5452,1,0,0,0,0,0
137057_5458,0,0,0,0,0,0
13777658_143,0,0,0,0,0,0
13777658_154,0,0,0,0,0,0
13777658_174,0,0,0,0,0,0
13777658_176,0,0,0,0,0,0
13777658_177,0,0,0,0,0,0
13777658_185,0,0,0,0,0,0
13777658_210,0,0,0,0,0,0
13777658_213,1,1,1,1,1,1
13777658_215,0,0,0,0,0,0
13777658_235,1,1,1,1,1,0
13777658_248,1,1,1,1,1,1
13777658_249,1,1,1,1,1,1
13777658_267,1,1,1,1,1,0
