SNP,not_fixed,ref_fixed,alt_fixed,total,not_fixed_prop,ref_fixed_prop,alt_fixed_prop,not_fixed_exp,ref_fixed_exp,alt_fixed_exp,chi_sq,p.value,p.adj.BH,p.adj.bonf,p.adj.holm
29334876_363307,4,6,0,10,0.4,0.6,0,0.625,4.6875,4.6875,23.28,8.81E-06,5.99E-05,0.054953685,0.047062899
29343746_19067,1,4,5,10,0.1,0.4,0.5,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29344736_43265,5,5,0,10,0.5,0.5,0,0.625,4.6875,4.6875,35.33333333,2.13E-08,1.82E-07,0.000132632,0.000117498
29346254_78302,7,3,0,10,0.7,0.3,0,0.625,4.6875,4.6875,70.32,5.37E-16,7.60E-15,3.35E-12,3.12E-12
29353611_135715,5,5,0,10,0.5,0.5,0,0.625,4.6875,4.6875,35.33333333,2.13E-08,1.82E-07,0.000132632,0.000117498
29354740_220565,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29355715_31907,1,6,3,10,0.1,0.6,0.3,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29360225_75525,7,1,2,10,0.7,0.1,0.2,0.625,4.6875,4.6875,69.46666667,8.23E-16,1.12E-14,5.14E-12,4.76E-12
29363748_595595,6,3,1,10,0.6,0.3,0.1,0.625,4.6875,4.6875,49.73333333,1.59E-11,1.64E-10,9.90E-08,8.95E-08
29366518_51161,2,6,2,10,0.2,0.6,0.2,0.625,4.6875,4.6875,4.933333333,0.084867279,0.337864595,1,1
29366658_280745,2,5,3,10,0.2,0.5,0.3,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29366658_565907,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29367028_22132,1,4,5,10,0.1,0.4,0.5,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29367903_275693,1,4,5,10,0.1,0.4,0.5,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29367903_275753,1,3,6,10,0.1,0.3,0.6,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29375018_211056,6,4,0,10,0.6,0.4,0,0.625,4.6875,4.6875,51.01333333,8.37E-12,8.76E-11,5.22E-08,4.73E-08
29375018_255042,5,5,0,10,0.5,0.5,0,0.625,4.6875,4.6875,35.33333333,2.13E-08,1.82E-07,0.000132632,0.000117498
29376992_1350437,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29376992_1754707,2,5,3,10,0.2,0.5,0.3,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29377001_5541376,4,5,1,10,0.4,0.5,0.1,0.625,4.6875,4.6875,21.14666667,2.56E-05,0.000168971,0.1596777,0.135751634
29377012_175291,1,6,3,10,0.1,0.6,0.3,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29377042_3984176,4,5,1,10,0.4,0.5,0.1,0.625,4.6875,4.6875,21.14666667,2.56E-05,0.000168971,0.1596777,0.135751634
29377152_910208,1,1,8,10,0.1,0.1,0.8,0.625,4.6875,4.6875,5.466666667,0.065002254,0.271677203,1,1
29377152_910282,1,1,8,10,0.1,0.1,0.8,0.625,4.6875,4.6875,5.466666667,0.065002254,0.271677203,1,1
29377168_291247,1,6,3,10,0.1,0.6,0.3,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29377168_318204,1,6,3,10,0.1,0.6,0.3,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
