SNP,s_giganteum_chr_name,LG,WRC_scaffold,map_position,WRC_scaffold_length,position,accurate_pos,distance_from_origin
29379313_4875,CM021100.1,1,29379313,39270555,141330,4875,39275430,4875
29379313_4880,CM021100.1,1,29379313,39270555,141330,4880,39275435,4880
29379313_4882,CM021100.1,1,29379313,39270555,141330,4882,39275437,4882
29378255_15117,CM021100.1,1,29378255,39270354,488276,15117,39285471,14916
29363841_126048,CM021100.1,1,29363841,126297422,152685,126048,126423470,87152915
29363841_126147,CM021100.1,1,29363841,126297422,152685,126147,126423569,87153014
29379106_294921,CM021100.1,1,29379106,126297421,349815,294921,126592342,87321787
29379106_294923,CM021100.1,1,29379106,126297421,349815,294923,126592344,87321789
29379106_294954,CM021100.1,1,29379106,126297421,349815,294954,126592375,87321820
29379106_294984,CM021100.1,1,29379106,126297421,349815,294984,126592405,87321850
29379106_294992,CM021100.1,1,29379106,126297421,349815,294992,126592413,87321858
29379106_295136,CM021100.1,1,29379106,126297421,349815,295136,126592557,87322002
29379106_295158,CM021100.1,1,29379106,126297421,349815,295158,126592579,87322024
29378095_56688,CM021100.1,1,29378095,126591479,800298,56688,126648167,87377612
29378095_56721,CM021100.1,1,29378095,126591479,800298,56721,126648200,87377645
29378095_56732,CM021100.1,1,29378095,126591479,800298,56732,126648211,87377656
29379720_181126,CM021100.1,1,29379720,126591474,824144,181126,126772600,87502045
29379720_181131,CM021100.1,1,29379720,126591474,824144,181131,126772605,87502050
29380894_388876,CM021100.1,1,29380894,126591480,2622210,388876,126980356,87709801
29380894_427167,CM021100.1,1,29380894,126591480,2622210,427167,127018647,87748092
29380894_427222,CM021100.1,1,29380894,126591480,2622210,427222,127018702,87748147
29382025_430746,CM021100.1,1,29382025,126591482,1188128,430746,127022228,87751673
29382025_431016,CM021100.1,1,29382025,126591482,1188128,431016,127022498,87751943
29382025_431710,CM021100.1,1,29382025,126591482,1188128,431710,127023192,87752637
29382025_431769,CM021100.1,1,29382025,126591482,1188128,431769,127023251,87752696
29382025_488354,CM021100.1,1,29382025,126591482,1188128,488354,127079836,87809281
29382025_488473,CM021100.1,1,29382025,126591482,1188128,488473,127079955,87809400
29377231_503306,CM021100.1,1,29377231,126594949,821680,503306,127098255,87827700
29381438_569237,CM021100.1,1,29381438,126591482,2067508,569237,127160719,87890164
29377172_572571,CM021100.1,1,29377172,126591480,2120019,572571,127164051,87893496
29377172_572611,CM021100.1,1,29377172,126591480,2120019,572611,127164091,87893536
29377172_572625,CM021100.1,1,29377172,126591480,2120019,572625,127164105,87893550
29378095_664732,CM021100.1,1,29378095,126591479,800298,664732,127256211,87985656
29378095_664784,CM021100.1,1,29378095,126591479,800298,664784,127256263,87985708
29378095_664862,CM021100.1,1,29378095,126591479,800298,664862,127256341,87985786
29378095_666530,CM021100.1,1,29378095,126591479,800298,666530,127258009,87987454
29380894_751851,CM021100.1,1,29380894,126591480,2622210,751851,127343331,88072776
